GGAP,TFP
0.5,0.003433098
0.5,0.006358179
0.5,0.006243631
0.5,0.00399291
0.5,0.004077415
0.5,0.011234255
0.48,0.010267685
0.46,0.012957514
0.44,0.0189372
0.42,0.018950076
0.4,0.017002707
0.4,0.015956818
0.4,0.011451346
0.4,0.002716186
0.4,0.000132806
0.4,-0.00191946
0.4,-8.56435E-05
0.4,0.00055576
0.4,0.000801873
0.4,2.61539E-05
0.4,0.001804969
0.38,5.27166E-05
0.36,0.001509669
0.34,0.005187861
0.32,0.00749919
0.3,0.005532073
0.3,0.00523836
0.3,0.005759077
0.3,0.002364323
0.3,-0.006199714
0.3,-0.000794359
0.28,-0.000792301
0.26,-9.08494E-05
0.24,0.005969766
0.22,0.012348289
0.2,0.0069611
