GGAP,TFP
0.5,0.003433098
0.6,0.007947721
0.6,0.011548461
1.4,0.005266653
1.1,0.001327403
1,0.03469334
1,-0.015842802
0.7,0.01195698
0.8,0.015477713
0.6,0.004504294
0.9,0.016361631
0.7,0.000823798
0.8,0.00584995
1.5,-0.006355361
1.9,0.008223284
1.5,0.0141348
1.8,0.034765721
1.3,0.007809839
2,-0.131005982
2,0.007820779
1.6,0.01051206
2,-0.000578848
1.4,0.013197517
2,-0.017787208
0.5,-0.001917436
0.4,0.00098442
0.1,0.001396425
0,-0.008769504
0.2,0.016149801
0,0.020050808
0.3,0.02006158
-0.2,0.011414917
0.3,0.017385474
0.5,0.010114021
0.1,0.009681135
0.5,0.007326274
-0.3,-0.035548155
0.3,0.013259151
1.7,-0.04748372
0.3,-0.000518465
2.5,-0.010538989
2.5,-0.007775669
3.4,-0.076762907
0.3,-0.938913714
0.5,0.006358179
0.6,0.006659369
0.6,0.011765492
1.38,-0.013337307
1.08,0.003927312
0.98,0.028139357
0.98,-0.004896619
0.68,0.002114964
0.8,0.004401397
0.6,0.009000866
0.88,0.015552678
0.7,0.006630814
0.78,-0.00078388
1.46,0.004822635
1.88,0.005164153
1.46,0.008925595
1.74,0.01548597
1.28,-0.000705653
2,-0.154175834
1.98,0.005825717
1.58,0.010906722
1.98,-0.005940579
1.36,0.003515756
2,-0.019861141
0.48,-0.002020231
0.38,-0.005506953
0.1,-0.001272791
0,-0.018013306
0.18,0.010058649
-0.02,-0.00582738
0.28,0.019504389
-0.2,0.015625158
0.3,0.010263432
0.48,-0.024546921
0.08,0.003375177
0.48,0.004022849
-0.32,-0.021720165
0.3,0.011489963
1.64,-0.060766483
0.3,0.001678681
2.52,-0.002162461
2.5,-0.028296933
3.38,-0.089435652
0.28,-1.127934636
0.5,0.006243631
0.6,0.01003235
0.6,0.015125266
1.36,-0.01780009
1.06,0.007535933
0.96,0.010093265
0.96,0.002193299
0.66,-0.001438513
0.8,-0.001687399
0.6,0.007514877
0.86,0.014434268
0.7,-0.001312674
0.76,0.005803103
1.42,0.008587297
1.86,0.004206499
1.42,0.003587796
1.68,0.00478737
1.26,-0.014274942
2,-0.092775976
1.96,-0.003833418
1.56,0.002020251
1.96,-0.009150147
1.32,0.000313998
2,-0.018349008
0.46,-0.004762074
0.36,-0.010141221
0.1,-0.006399892
0,-0.029995926
0.16,0.012074222
-0.04,-0.006952247
0.26,0.021548107
-0.2,0.008319348
0.3,0.005682374
0.46,-0.041050111
0.06,-0.000928587
0.46,0.005708862
-0.34,-0.014200552
0.3,-0.006244381
1.58,-0.060735834
0.3,0.005006946
2.54,-0.009118081
2.5,-0.02910558
3.36,-0.122644946
0.26,-8.85941911
0.5,0.00399291
0.6,0.013062708
0.6,0.011171051
1.34,-0.031341894
1.04,0.007420645
0.94,-0.003965131
0.94,0.010115059
0.64,-0.010033942
0.8,-0.005309334
0.6,-0.003627024
0.84,0.013181915
0.7,-0.017493647
0.74,-0.017196135
1.38,0.001965918
1.84,0.009153897
1.38,0.003619244
1.62,0.008081021
1.24,-0.010506573
2,-0.044891116
1.94,-0.003338372
1.54,0.003000306
1.94,0.005040445
1.28,0.002715372
2,-0.014218616
0.44,0.000832334
0.34,-0.007359161
0.1,-0.003559427
0,-0.014786709
0.14,0.009327169
-0.06,-0.015961793
0.24,0.02130647
-0.2,-0.000639176
0.3,0.006783422
0.44,-0.035269655
0.04,-0.010995662
0.44,0.007448765
-0.36,-0.010746263
0.3,-0.025689289
1.52,-0.076590419
0.3,0.001173001
2.56,-0.0061725
2.5,-0.014592607
3.34,-0.125169641
0.24,0.858101469
0.5,0.004077415
0.6,0.008619569
0.6,0.010446506
1.32,-0.028943946
1.02,0.019643177
0.92,-0.006436946
0.92,0.011862852
0.62,-0.019361634
0.8,-0.007571238
0.6,-0.003310212
0.82,0.017685756
0.7,-0.020642504
0.72,-0.022177453
1.34,0.008027509
1.82,0.003460704
1.34,0.00336713
1.56,0.009529337
1.22,-0.010795442
2,-0.038230367
1.92,-0.004596982
1.52,0.00343599
1.92,0.015546434
1.24,0.005671122
2,0.001045132
0.42,0.001397104
0.32,0.000282486
0.1,0.002330634
0,-0.021627182
0.12,0.009168534
-0.08,-0.020703864
0.22,0.014474413
-0.2,0.01348119
0.3,0.009553221
0.42,-0.031359434
0.02,-0.011916287
0.42,0.007779285
-0.38,-0.016520844
0.3,-0.032906464
1.46,-0.073775537
0.3,0.001323804
2.58,0.010971017
2.5,-0.006223025
3.32,-0.143024539
0.22,-0.79291242
0.5,0.011234255
0.6,0.016004066
0.6,0.014221016
1.3,-0.0246831
1,0.023282326
0.9,-0.011564971
0.9,0.006469101
0.6,-0.015103429
0.8,-0.005868409
0.6,-0.018710273
0.8,0.016516388
0.7,-0.024159878
0.7,-0.009083803
1.3,0.013044383
1.8,0.007473122
1.3,0.006512666
1.5,0.003971749
1.2,-0.020162563
2,0.005472417
1.9,-0.01367089
1.5,0.001383488
1.9,0.030864475
1.2,0.005446722
2,0.007116762
0.4,0.003307322
0.3,0.004242181
0.1,0.007509379
0,-0.034268309
